Category,Motivation,clean_motivation,Label
medicine,"""for their discovery of the course of the catalytic conversion of glycogen""",discovery course catalytic conversion glycogen,1
medicine,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",discovery high efficiency DDT contact poison several arthropods,1
literature,"""for his outstanding pioneer contribution to present-day poetry""",outstanding pioneer contribution presentday poetry,3
chemistry,"""for his research on electrophoresis and adsorption analysis especially for his discoveries concerning the complex nature of the serum proteins""",research electrophoresis adsorption analysis especially discoveries concerning complex nature serum proteins,4
physics,"""for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",development Wilson cloud chamber method discoveries therewith fields nuclear physics cosmic radiation,0
medicine,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",discovery therapeutic value leucotomy certain psychoses,1
chemistry,"""for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures""",contributions field chemical thermodynamics particularly concerning behaviour substances extremely low temperatures,4
medicine,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",discovery functional organization interbrain coordinator activities internal organs,1
literature,"""for his powerful and artistically unique contribution to the modern American novel""",powerful artistically unique contribution modern American novel,3
peace,"""for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war""",lifelong effort conquer hunger want thereby helping remove major cause military conflict war,2
physics,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",prediction existence mesons basis theoretical work nuclear forces,0
literature,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",recognition varied significant writings champions humanitarian ideals freedom thought,3
peace,"""for his work as mediator in Palestine in 1948-1949""",work mediator Palestine 19481949,2
medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",discoveries relating hormones adrenal cortex structure biological effects,1
medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",discoveries relating hormones adrenal cortex structure biological effects,1
medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",discoveries relating hormones adrenal cortex structure biological effects,1
chemistry,"""for their discovery and development of the diene synthesis""",discovery development diene synthesis,4
physics,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",development photographic method studying nuclear processes discoveries regarding mesons made method,0
chemistry,"""for their discovery and development of the diene synthesis""",discovery development diene synthesis,4
peace,"""for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations""",devoted life fight war promotion social justice brotherhood among men nations,2
literature,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",artistic vigour true independence mind endeavours poetry find answers eternal questions confronting mankind,3
physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",pioneer work transmutation atomic nuclei artificially accelerated atomic particles,0
physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",pioneer work transmutation atomic nuclei artificially accelerated atomic particles,0
chemistry,"""for their discoveries in the chemistry of the transuranium elements""",discoveries chemistry transuranium elements,4
medicine,"""for his discoveries concerning yellow fever and how to combat it""",discoveries concerning yellow fever combat,1
chemistry,"""for their discoveries in the chemistry of the transuranium elements""",discoveries chemistry transuranium elements,4
physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",development new methods nuclear magnetic precision measurements discoveries connection therewith,0
chemistry,"""for their invention of partition chromatography""",invention partition chromatography,4
peace,"""for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one""",altruism reverence life tireless humanitarian work helped making idea brotherhood men nations living one,2
medicine,"""for his discovery of streptomycin the first antibiotic effective against tuberculosis""",discovery streptomycin first antibiotic effective tuberculosis,1
chemistry,"""for their invention of partition chromatography""",invention partition chromatography,4
physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",development new methods nuclear magnetic precision measurements discoveries connection therewith,0
literature,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",deep spiritual insight artistic intensity novels penetrated drama human life,3
peace,"""for proposing and supervising the plan for the economic recovery of Europe""",proposing supervising plan economic recovery Europe,2
medicine,"""for his discovery of the citric acid cycle""",discovery citric acid cycle,1
medicine,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",discovery coenzyme importance intermediary metabolism,1
physics,"""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope""",demonstration phase contrast method especially invention phase contrast microscope,0
chemistry,"""for his discoveries in the field of macromolecular chemistry""",discoveries field macromolecular chemistry,4
literature,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",mastery historical biographical description well brilliant oratory defending exalted human values,3
medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",discovery ability poliomyelitis viruses grow cultures various types tissue,1
medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",discovery ability poliomyelitis viruses grow cultures various types tissue,1
medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",discovery ability poliomyelitis viruses grow cultures various types tissue,1
chemistry,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",research nature chemical bond application elucidation structure complex substances,4
peace,"""for his fight against the nuclear arms race between East and West""",fight nuclear arms race East West,2
physics,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""",fundamental research quantum mechanics especially statistical interpretation wavefunction,0
physics,"""for the coincidence method and his discoveries made therewith""",coincidence method discoveries made therewith,0
literature,"""for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style""",mastery art narrative recently demonstrated IThe Old Man SeaI influence exerted contemporary style,3
peace,"""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",efforts heal wounds war providing help protection refugees world,2
peace,"""for promoting the fundamental rights of refugees""",promoting fundamental rights refugees,2
literature,"""for his vivid epic power which has renewed the great narrative art of Iceland""",vivid epic power renewed great narrative art Iceland,3
physics,"""for his precision determination of the magnetic moment of the electron""",precision determination magnetic moment electron,0
physics,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",discoveries concerning fine structure hydrogen spectrum,0
medicine,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",discoveries concerning nature mode action oxidation enzymes,1
chemistry,"""for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone""",work biochemically important sulphur compounds especially first synthesis polypeptide hormone,4
medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",discoveries concerning heart catheterization pathological changes circulatory system,1
medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",discoveries concerning heart catheterization pathological changes circulatory system,1
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",researches semiconductors discovery transistor effect,0
chemistry,"""for their researches into the mechanism of chemical reactions""",researches mechanism chemical reactions,4
chemistry,"""for their researches into the mechanism of chemical reactions""",researches mechanism chemical reactions,4
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",researches semiconductors discovery transistor effect,0
physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",jointly developed theory superconductivity usually called BCStheory,0
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",researches semiconductors discovery transistor effect,0
medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",discoveries concerning heart catheterization pathological changes circulatory system,1
literature,"""for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity""",lyrical poetry Spanish language constitutes example high spirit artistical purity,3
physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",penetrating investigation socalled parity laws led important discoveries regarding elementary particles,0
peace,"""for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis""",crucial contribution deployment United Nations Emergency Force wake Suez Crisis,2
chemistry,"""for his work on nucleotides and nucleotide co-enzymes""",work nucleotides nucleotide coenzymes,4
physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",penetrating investigation socalled parity laws led important discoveries regarding elementary particles,0
literature,"""for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",important literary production clearsighted earnestness illuminates problems human conscience times,3
medicine,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances and especially their action on the vascular system and the skeletal muscles""",discoveries relating synthetic compounds inhibit action certain body substances especially action vascular system skeletal muscles,1
chemistry,"""for his work on the structure of proteins especially that of insulin""",work structure proteins especially insulin,4
chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",contributions concerning determination base sequences nucleic acids,4
peace,"""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity""",efforts help refugees leave camps return life freedom dignity,2
medicine,"""for their discovery that genes act by regulating definite chemical events""",discovery genes act regulating definite chemical events,1
medicine,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",discoveries concerning genetic recombination organization genetic material bacteria,1
literature,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",important achievement contemporary lyrical poetry field great Russian epic tradition,3
physics,"""for the discovery and the interpretation of the Cherenkov effect""",discovery interpretation Cherenkov effect,0
physics,"""for the discovery and the interpretation of the Cherenkov effect""",discovery interpretation Cherenkov effect,0
physics,"""for the discovery and the interpretation of the Cherenkov effect""",discovery interpretation Cherenkov effect,0
medicine,"""for their discovery that genes act by regulating definite chemical events""",discovery genes act regulating definite chemical events,1
medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",discovery mechanisms biological synthesis ribonucleic acid deoxyribonucleic acid,1
chemistry,"""for his discovery and development of the polarographic methods of analysis""",discovery development polarographic methods analysis,4
physics,"""for their discovery of the antiproton""",discovery antiproton,0
physics,"""for their discovery of the antiproton""",discovery antiproton,0
medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",discovery mechanisms biological synthesis ribonucleic acid deoxyribonucleic acid,1
peace,"""for his longstanding contribution to the cause of disarmament and peace""",longstanding contribution cause disarmament peace,2
literature,"""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times""",lyrical poetry classical fire expresses tragic experience life times,3
medicine,"""for discovery of acquired immunological tolerance""",discovery acquired immunological tolerance,1
physics,"""for the invention of the bubble chamber""",invention bubble chamber,0
medicine,"""for discovery of acquired immunological tolerance""",discovery acquired immunological tolerance,1
literature,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",soaring flight evocative imagery poetry visionary fashion reflects conditions time,3
peace,"""for his non-violent struggle against apartheid""",nonviolent struggle apartheid,2
chemistry,"""for his method to use carbon-14 for age determination in archaeology geology geophysics and other branches of science""",method use carbon14 age determination archaeology geology geophysics branches science,4
physics,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",researches concerning resonance absorption gamma radiation discovery connection effect bears name,0
peace,"""for developing the UN into an effective and constructive international organization capable of giving life to the principles and aims expressed in the UN Charter""",developing UN effective constructive international organization capable giving life principles aims expressed UN Charter,2
medicine,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",discoveries physical mechanism stimulation within cochlea,1
literature,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",epic force traced themes depicted human destinies drawn history country,3
chemistry,"""for his research on the carbon dioxide assimilation in plants""",research carbon dioxide assimilation plants,4
physics,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",pioneering studies electron scattering atomic nuclei thereby achieved discoveries concerning structure nucleons,0
medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",discoveries concerning molecular structure nucleic acids significance information transfer living material,1
medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",discoveries concerning molecular structure nucleic acids significance information transfer living material,1
medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",discoveries concerning molecular structure nucleic acids significance information transfer living material,1
chemistry,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",research nature chemical bond application elucidation structure complex substances,4
peace,"""for his fight against the nuclear arms race between East and West""",fight nuclear arms race East West,2
chemistry,"""for their studies of the structures of globular proteins""",studies structures globular proteins,4
chemistry,"""for their studies of the structures of globular proteins""",studies structures globular proteins,4
physics,"""for his pioneering theories for condensed matter especially liquid helium""",pioneering theories condensed matter especially liquid helium,0
literature,"""for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception""",realistic imaginative writings combining sympathetic humour keen social perception,3
medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane,1
medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane,1
medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane,1
physics,"""for their discoveries concerning nuclear shell structure""",discoveries concerning nuclear shell structure,0
physics,"""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles""",contributions theory atomic nucleus elementary particles particularly discovery application fundamental symmetry principles,0
peace,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",efforts take care wounded soldiers prisoners war families,2
peace,"""for the great work it has performed during the war on behalf of humanity""",great work performed war behalf humanity,2
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",promoting principles Geneva Convention cooperation UN,2
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",promoting principles Geneva Convention cooperation UN,2
literature,"""for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture""",eminent lyrical writing inspired deep feeling Hellenic world culture,3
physics,"""for their discoveries concerning nuclear shell structure""",discoveries concerning nuclear shell structure,0
chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers""",discoveries field chemistry technology high polymers,4
chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers""",discoveries field chemistry technology high polymers,4
physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle,0
literature,"""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age""",work rich ideas filled spirit freedom quest truth exerted farreaching influence age,3
peace,"""for his non-violent struggle for civil rights for the Afro-American population""",nonviolent struggle civil rights AfroAmerican population,2
physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle,0
medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",discoveries concerning mechanism regulation cholesterol fatty acid metabolism,1
physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle,0
medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",discoveries concerning mechanism regulation cholesterol fatty acid metabolism,1
chemistry,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",determinations Xray techniques structures important biochemical substances,4
chemistry,"""for his outstanding achievements in the art of organic synthesis""",outstanding achievements art organic synthesis,4
medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",discoveries concerning genetic control enzyme virus synthesis,1
medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",discoveries concerning genetic control enzyme virus synthesis,1
medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",discoveries concerning genetic control enzyme virus synthesis,1
peace,"""for its effort to enhance solidarity between nations and reduce the difference between rich and poor states""",effort enhance solidarity nations reduce difference rich poor states,2
physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",fundamental work quantum electrodynamics deepploughing consequences physics elementary particles,0
literature,"""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people""",artistic power integrity epic given expression historic phase life Russian people,3
physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",fundamental work quantum electrodynamics deepploughing consequences physics elementary particles,0
physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",fundamental work quantum electrodynamics deepploughing consequences physics elementary particles,0
medicine,"""for his discoveries concerning hormonal treatment of prostatic cancer""",discoveries concerning hormonal treatment prostatic cancer,1
literature,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",profoundly characteristic narrative art motifs life Jewish people,3
chemistry,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",fundamental work concerning chemical bonds electronic structure molecules molecular orbital method,4
medicine,"""for his discovery of tumour-inducing viruses""",discovery tumourinducing viruses,1
literature,"""for her outstanding lyrical and dramatic writing which interprets Israel's destiny with touching strength""",outstanding lyrical dramatic writing interprets Israels destiny touching strength,3
physics,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",discovery development optical methods studying Hertzian resonances atoms,0
medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",discoveries concerning primary physiological chemical visual processes eye,1
medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",discoveries concerning primary physiological chemical visual processes eye,1
chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy,4
literature,"""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America""",vivid literary achievement deeprooted national traits traditions Indian peoples Latin America,3
chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy,4
chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy,4
medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",discoveries concerning primary physiological chemical visual processes eye,1
physics,"""for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars""",contributions theory nuclear reactions especially discoveries concerning energy production stars,0
medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",interpretation genetic code function protein synthesis,1
medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",interpretation genetic code function protein synthesis,1
chemistry,"""for the discovery of the reciprocal relations bearing his name which are fundamental for the thermodynamics of irreversible processes""",discovery reciprocal relations bearing name fundamental thermodynamics irreversible processes,4
peace,"""for his struggle to ensure the rights of man as stipulated in the UN Declaration""",struggle ensure rights man stipulated UN Declaration,2
medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",interpretation genetic code function protein synthesis,1
physics,"""for his decisive contributions to elementary particle physics in particular the discovery of a large number of resonance states made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",decisive contributions elementary particle physics particular discovery large number resonance states made possible development technique using hydrogen bubble chamber data analysis,0
literature,"""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind""",narrative mastery great sensibility expresses essence Japanese mind,3
chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry""",contributions development concept conformation application chemistry,4
literature,"""for his writing which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",writing new forms novel drama destitution modern man acquires elevation,3
economics,"""for having developed and applied dynamic models for the analysis of economic processes""",developed applied dynamic models analysis economic processes,5
physics,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",contributions discoveries concerning classification elementary particles interactions,0
economics,"""for having developed and applied dynamic models for the analysis of economic processes""",developed applied dynamic models analysis economic processes,5
peace,"""for creating international legislation insuring certain norms for working conditions in every country""",creating international legislation insuring certain norms working conditions every country,2
medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",discoveries concerning replication mechanism genetic structure viruses,1
medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",discoveries concerning replication mechanism genetic structure viruses,1
medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",discoveries concerning replication mechanism genetic structure viruses,1
chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry""",contributions development concept conformation application chemistry,4
physics,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",fundamental work discoveries magnetohydrodynamics fruitful applications different parts plasma physics,0
physics,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",fundamental work discoveries concerning antiferromagnetism ferrimagnetism led important applications solid state physics,0
peace,"""for having given a well-founded hope - the green revolution""",given wellfounded hope green revolution,2
chemistry,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",discovery sugar nucleotides role biosynthesis carbohydrates,4
literature,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",ethical force pursued indispensable traditions Russian literature,3
economics,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",scientific work developed static dynamic economic theory actively contributed raising level analysis economic science,5
medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation,1
medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation,1
medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation,1
peace,"""for paving the way for a meaningful dialogue between East and West""",paving way meaningful dialogue East West,2
physics,"""for his invention and development of the holographic method""",invention development holographic method,0
economics,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",empirically founded interpretation economic growth led new deepened insight economic social structure process development,5
chemistry,"""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals""",contributions knowledge electronic structure geometry molecules particularly free radicals,4
medicine,"""for his discoveries concerning the mechanisms of the action of hormones""",discoveries concerning mechanisms action hormones,1
literature,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",poetry action elemental force brings alive continents destiny dreams,3
literature,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",writing combination broad perspective time sensitive skill characterization contributed renewal German literature,3
medicine,"""for their discoveries concerning the chemical structure of antibodies""",discoveries concerning chemical structure antibodies,1
physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",jointly developed theory superconductivity usually called BCStheory,0
chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",contribution understanding connection chemical structure catalytic activity active centre ribonuclease molecule,4
chemistry,"""for his work on ribonuclease especially concerning the connection between the amino acid sequence and the biologically active conformation""",work ribonuclease especially concerning connection amino acid sequence biologically active conformation,4
chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",contribution understanding connection chemical structure catalytic activity active centre ribonuclease molecule,4
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",researches semiconductors discovery transistor effect,0
physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",jointly developed theory superconductivity usually called BCStheory,0
economics,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",pioneering contributions general economic equilibrium theory welfare theory,5
economics,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",pioneering contributions general economic equilibrium theory welfare theory,5
physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",jointly developed theory superconductivity usually called BCStheory,0
medicine,"""for their discoveries concerning the chemical structure of antibodies""",discoveries concerning chemical structure antibodies,1
physics,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects""",theoretical predictions properties supercurrent tunnel barrier particular phenomena generally known Josephson effects,0
chemistry,"""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds""",pioneering work performed independently chemistry organometallic called sandwich compounds,4
chemistry,"""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds""",pioneering work performed independently chemistry organometallic called sandwich compounds,4
peace,"""for jointly having negotiated a cease fire in Vietnam in 1973""",jointly negotiated cease fire Vietnam 1973,2
economics,"""for the development of the input-output method and for its application to important economic problems""",development inputoutput method application important economic problems,5
medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",discoveries concerning organization elicitation individual social behaviour patterns,1
physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively""",experimental discoveries regarding tunneling phenomena semiconductors superconductors respectively,0
physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively""",experimental discoveries regarding tunneling phenomena semiconductors superconductors respectively,0
medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",discoveries concerning organization elicitation individual social behaviour patterns,1
literature,"""for an epic and psychological narrative art which has introduced a new continent into literature""",epic psychological narrative art introduced new continent literature,3
peace,"""for jointly having negotiated a cease fire in Vietnam in 1973""",jointly negotiated cease fire Vietnam 1973,2
medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",discoveries concerning organization elicitation individual social behaviour patterns,1
chemistry,"""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules""",fundamental achievements theoretical experimental physical chemistry macromolecules,4
literature,"""for a narrative art far-seeing in lands and ages in the service of freedom""",narrative art farseeing lands ages service freedom,3
economics,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",pioneering work theory money economic fluctuations penetrating analysis interdependence economic social institutional phenomena,5
literature,"""for writings that catch the dewdrop and reflect the cosmos""",writings catch dewdrop reflect cosmos,3
medicine,"""for their discoveries concerning the structural and functional organization of the cell""",discoveries concerning structural functional organization cell,1
physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""",pioneering research radio astrophysics Ryle observations inventions particular aperture synthesis technique Hewish decisive role discovery pulsars,0
physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""",pioneering research radio astrophysics Ryle observations inventions particular aperture synthesis technique Hewish decisive role discovery pulsars,0
medicine,"""for their discoveries concerning the structural and functional organization of the cell""",discoveries concerning structural functional organization cell,1
peace,"""for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty""",contribution stabilize conditions Pacific rim area signing Nuclear NonProliferation Treaty,2
peace,"""for his efforts to secure and develop human rights throughout the world""",efforts secure develop human rights throughout world,2
economics,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",pioneering work theory money economic fluctuations penetrating analysis interdependence economic social institutional phenomena,5
medicine,"""for their discoveries concerning the structural and functional organization of the cell""",discoveries concerning structural functional organization cell,1
chemistry,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",work stereochemistry enzymecatalyzed reactions,4
chemistry,"""for his research into the stereochemistry of organic molecules and reactions""",research stereochemistry organic molecules reactions,4
medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",discoveries concerning interaction tumour viruses genetic material cell,1
physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",discovery connection collective motion particle motion atomic nuclei development theory structure atomic nucleus based connection,0
physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",discovery connection collective motion particle motion atomic nuclei development theory structure atomic nucleus based connection,0
